#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-07-23T20:37:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d376ff99188	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/423/2966&tab:{J/MNRAS/423/2966/stars}&key:source=J/MNRAS/423/2966&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/423/2966/stars
#-order=I
#-out=[IHA2007]
#-out=RAJ2000
#-out=DEJ2000
#-out=Per
#-out=Vmag
#-out=Icmag
#-out=Kmag
#-out=SNR
#-out=RV
#-out=l_vsini
#-out=vsini
#-out=Mm
#-out=logL
#-out=amp
#-out=tc
#-out=logR
#-out=W(Ca)1
#-out=W(Ca)2
#-out=logR'1
#-out=Mass
#-out=I07
#
#
#RESOURCE=yCat_74232966
#Name: J/MNRAS/423/2966
#Title: Low-mass stars spectroscopy in NGC 2516 (Jackson+, 2012)
#Table	J_MNRAS_423_2966_stars:
#Name: J/MNRAS/423/2966/stars
#Title: Velocity data, chromospheric activity indices  and related data for targets in NGC 2516
#Column	[IHA2007]	(A8)	Identification number, N-N-NNNN, <[IHA2007] 2516-N-N-NNNN> in Simbad	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Per	(F6.3)	? Modulation period	[ucd=time.period]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Icmag	(F5.2)	Cousins C magnitude	[ucd=phot.mag;em.opt.I]
#Column	Kmag	(F5.2)	? CIT K magnitude (1)	[ucd=phot.mag;em.IR.K]
#Column	SNR	(I2)	Signal-to-noise ratio	[ucd=stat.snr]
#Column	RV	(F6.2)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	l_vsini	(A1)	Limit flag on vsini	[ucd=meta.code.error;phys.veloc.rotat]
#Column	vsini	(F5.1)	Rotational velocity	[ucd=phys.veloc.rotat]
#Column	Mm	(A1)	[*] * for non-members	[ucd=meta.note]
#Column	logL	(F5.2)	Luminosity	[ucd=phys.luminosity]
#Column	amp	(F6.3)	? sine amplitude (light curve amplitude)	[ucd=src.var.amplitude]
#Column	tc	(I3)	Convective turn-over time {tau}_c_	[ucd=em.freq;src.var]
#Column	logR	(F5.2)	? Rossby number	[ucd=stat.param]
#Column	W(Ca)1	(F5.2)	Ca 8498{AA} equivalent width	[ucd=spect.line.eqWidth]
#Column	W(Ca)2	(F5.2)	Ca 8542{AA} equivalent width	[ucd=spect.line.eqWidth]
#Column	logR'1	(F5.2)	? Activity index from Ca8488	[ucd=stat.param]
#Column	Mass	(F5.2)	Mass	[ucd=phys.mass]
#Column	I07	(I3)	Display the data from Irwin et al., 2007, Cat. J/MNRAS/377/741 [NULL integer written as an empty string]	[ucd=meta.ref.url]
#[IHA2007]	RAJ2000	DEJ2000	Per	Vmag	Icmag	Kmag	SNR	RV	l_vsini	vsini	Mm	logL	amp	tc	logR	W(Ca)1	W(Ca)2	logR'1	Mass	I07
# 	"h:m:s"	"d:m:s"	d	mag	mag	mag	 	km/s	 	km/s	 	[Lsun]	mag	d	[-]	0.1nm	0.1nm	[-]	Msun	
#--------	-----------	------------	------	-----	-----	-----	--	------	-	-----	-	-----	------	---	-----	-----	-----	-----	-----	---
1-1-998 	07 56 51.49	-61 30 40.05	      	19.12	16.52	14.37	14	  0.16	 	 33.2	 	-1.63	      	 82	     	 0.39	 0.37	-4.54	 0.42	  0
1-2-126 	07 56 19.96	-61 19 29.50	 0.869	20.09	17.27	14.81	 7	  0.32	<	  8.0	 	-1.90	 0.021	112	-2.11	 0.83	 0.78	-4.24	 0.30	  1
1-2-1835	07 57 21.32	-61 16 48.64	      	15.64	13.90	12.12	45	 11.01	<	  8.0	*	-0.67	      	 27	     	 0.12	 0.16	-4.99	 0.78	  0
1-2-1929	07 57 24.32	-61 17 29.60	 1.244	18.36	15.92	13.55	20	  1.18	 	 24.2	 	-1.40	 0.016	 63	-1.71	 0.36	 0.50	-4.58	 0.50	  1
1-2-2281	07 57 36.33	-61 21 29.30	10.374	17.24	15.23	13.25	26	  0.12	<	  8.0	 	-1.15	 0.015	 48	-0.66	 0.32	 0.33	-4.62	 0.60	  1
1-2-2473	07 57 43.60	-61 17 27.61	      	19.53	16.93	14.50	10	  7.78	<	  8.0	*	-1.79	      	 99	     	 0.06	-0.07	-5.38	 0.36	  0
1-2-2479	07 57 43.86	-61 23 14.03	      	16.19	14.81	12.99	36	106.67	<	  8.0	*	-1.01	      	 40	     	-0.14	-0.15	     	 0.66	  0
1-2-2491	07 57 44.72	-61 23 32.70	 1.739	18.55	16.12	14.02	18	  0.91	 	 10.7	 	-1.48	 0.006	 69	-1.60	 0.51	 0.51	-4.43	 0.48	  1
1-2-2564	07 57 46.96	-61 18 55.33	      	15.91	14.58	12.73	39	  6.80	<	  8.0	*	-0.92	      	 36	     	 0.50	 0.61	-4.42	 0.69	  0
1-2-2597	07 57 48.84	-61 21 50.72	      	19.86	17.09	14.85	 8	 11.76	<	  8.0	*	-1.83	      	104	     	 0.22	 0.29	-4.82	 0.33	  0
1-2-271 	07 56 24.97	-61 21 39.24	      	18.24	15.96	13.70	18	  0.64	 	 11.3	 	-1.43	      	 65	     	 0.49	 0.61	-4.44	 0.50	  0
1-2-2802	07 57 54.11	-61 18 09.73	      	19.84	17.01	14.65	 7	  0.41	<	  8.0	 	-1.79	      	 99	     	 0.33	 0.42	-4.65	 0.34	  0
1-2-2824	07 57 56.96	-61 18 43.90	 2.076	19.04	16.53	14.15	13	  0.69	 	 15.3	 	-1.64	 0.010	 83	-1.60	 0.46	 0.41	-4.47	 0.42	  1
1-2-2994	07 58 02.87	-61 24 36.14	      	17.08	15.12	13.12	31	  5.74	<	  8.0	*	-1.11	      	 45	     	 0.07	 0.11	-5.25	 0.62	  0
1-2-31  	07 56 16.53	-61 17 12.77	      	20.39	17.40	14.93	12	  1.09	 	 13.6	 	-1.93	      	116	     	 0.32	 0.28	-4.67	 0.28	  0
1-2-3412	07 58 15.90	-61 18 29.08	      	18.09	15.87	13.82	18	 10.33	<	  8.0	*	-1.40	      	 63	     	-0.02	 0.02	     	 0.51	  0
1-2-3472	07 58 18.25	-61 21 09.00	 4.432	17.45	15.37	13.42	23	  0.98	<	  8.0	 	-1.21	 0.021	 50	-1.06	 0.46	 0.57	-4.46	 0.58	  1
1-2-3503	07 58 19.17	-61 23 52.24	      	16.22	14.67	12.77	36	  0.13	<	  8.0	 	-0.97	      	 38	     	 0.43	 0.50	-4.46	 0.68	  0
1-2-3572	07 58 21.56	-61 17 15.91	      	19.23	16.65	14.43	10	 42.37	<	  8.0	*	-1.68	      	 87	     	 0.11	 0.11	-5.11	 0.40	  0
1-2-369 	07 56 28.62	-61 17 11.80	 0.275	17.07	15.00	12.86	40	 18.12	 	105.1	*	-1.06	 0.023	 42	-2.19	 0.88	 1.38	-4.17	 0.63	  1
1-2-4076	07 58 40.52	-61 16 46.90	      	18.28	15.65	13.48	23	 60.75	 	 13.7	*	-1.28	      	 55	     	 0.10	 0.01	-5.16	 0.54	  0
1-2-4256	07 58 47.02	-61 23 46.60	 0.808	20.47	17.57	14.93	 6	  2.50	 	 30.9	 	-2.00	 0.017	127	-2.20	 0.18	 0.38	-4.92	 0.26	  1
1-2-463 	07 56 32.23	-61 21 46.47	      	17.87	15.57	13.37	26	  3.75	 	  9.7	*	-1.27	      	 54	     	 0.19	 0.21	-4.85	 0.55	  0
1-2-619 	07 56 38.03	-61 23 59.93	      	19.45	16.73	14.31	13	  0.15	 	 19.5	 	-1.70	      	 89	     	 0.37	 0.39	-4.58	 0.39	  0
1-2-752 	07 56 42.49	-61 17 48.59	      	17.81	15.39	13.20	27	 31.35	<	  8.0	*	-1.19	      	 50	     	 0.03	 0.00	-5.64	 0.58	  0
1-2-816 	07 56 45.30	-61 24 21.22	      	18.97	16.31	13.99	15	  9.88	<	  8.0	*	-1.54	      	 74	     	 0.07	 0.04	-5.31	 0.45	  0
1-2-836 	07 56 46.03	-61 17 09.30	 1.271	19.67	16.99	14.45	16	  0.34	 	 19.2	 	-1.81	 0.027	101	-1.90	 0.37	 0.40	-4.57	 0.35	  1
1-3-118 	07 56 19.66	-61 12 05.80	 0.639	20.51	17.61	15.12	10	  1.47	 	 33.3	 	-2.02	 0.038	129	-2.30	 0.44	 0.45	-4.53	 0.25	  1
1-3-1198	07 56 54.17	-61 16 04.97	      	20.02	17.29	14.93	12	 16.11	 	 10.6	*	-1.92	      	115	     	 0.02	-0.03	-5.96	 0.30	  0
1-3-1523	07 57 04.55	-61 09 14.10	      	20.36	17.52	15.34	 9	 12.05	<	  8.0	*	-1.99	      	125	     	-0.01	-0.09	     	 0.27	  0
1-3-1638	07 57 03.73	-61 09 44.37	      	19.66	17.04	14.65	16	 29.98	<	  8.0	*	-1.84	      	104	     	 0.04	-0.01	-5.59	 0.34	  0
1-3-1683	07 57 09.42	-61 14 23.80	 0.770	21.13	18.04	15.04	 7	  2.22	 	 17.6	 	-2.17	 0.019	153	-2.30	 0.12	 0.33	-5.13	 0.20	  1
1-3-1740	07 57 10.65	-61 11 16.00	      	16.57	14.82	12.96	39	  0.78	<	  8.0	 	-1.04	      	 42	     	 0.31	 0.38	-4.58	 0.66	  0
1-3-1747	07 57 11.17	-61 13 06.36	      	19.95	17.03	14.60	13	 21.21	<	  8.0	*	-1.79	      	 99	     	 0.16	 0.07	-4.98	 0.34	  0
1-3-1888	07 57 09.67	-61 08 53.16	      	16.09	14.57	12.61	57	  0.00	<	  8.0	 	-0.93	      	 37	     	 0.24	 0.33	-4.71	 0.69	  0
1-3-1904	07 57 15.88	-61 15 44.80	      	21.76	18.38	15.43	 5	  0.67	 	 36.1	 	-2.26	      	170	     	 0.17	 0.15	-5.01	 0.17	  0
1-3-1918	07 57 16.40	-61 07 46.42	      	16.53	14.85	12.95	41	  0.62	<	  8.0	 	-1.05	      	 42	     	 0.27	 0.36	-4.65	 0.65	  0
1-3-1944	07 57 17.63	-61 15 31.00	      	21.03	17.85	15.07	 8	  2.21	 	 55.6	 	-2.08	      	138	     	 0.30	 0.36	-4.73	 0.23	  0
1-3-2082	07 57 22.07	-61 09 18.17	      	16.96	14.67	12.60	44	  4.65	<	  8.0	*	-0.91	      	 36	     	 0.02	-0.02	-5.74	 0.68	  0
1-3-2128	07 57 23.80	-61 08 51.10	 0.634	20.52	17.55	15.04	10	  1.75	 	 19.9	 	-1.99	 0.023	124	-2.29	 0.27	 0.36	-4.75	 0.26	  1
1-3-2179	07 57 25.28	-61 15 31.11	      	19.79	16.81	14.64	13	 47.24	<	  8.0	*	-1.69	      	 88	     	 0.01	 0.01	-6.03	 0.37	  0
1-3-2213	07 57 26.10	-61 11 55.72	      	20.91	17.94	15.10	 6	  1.13	<	  8.0	 	-2.15	      	149	     	 0.31	 0.31	-4.68	 0.22	  0
1-3-2266	07 57 27.39	-61 13 30.95	      	19.83	17.07	14.59	10	 43.73	 	 10.6	*	-1.83	      	103	     	-0.04	 0.00	     	 0.33	  0
1-3-232 	07 56 22.81	-61 12 36.00	 1.192	18.82	16.29	14.04	24	  0.34	 	  9.2	 	-1.54	 0.007	 74	-1.79	 0.47	 0.51	-4.46	 0.45	  1
1-3-2379	07 57 32.93	-61 07 25.10	 0.681	20.06	17.13	14.72	11	  1.86	 	 26.6	 	-1.83	 0.022	103	-2.18	 0.37	 0.32	-4.61	 0.32	  1
1-3-2588	07 57 33.66	-61 15 18.40	 0.393	17.28	15.04	12.89	31	  1.90	 	 55.9	 	-1.06	 0.014	 43	-2.04	 0.65	 0.70	-4.31	 0.63	  1
1-3-2668	07 57 42.51	-61 09 44.70	 0.539	20.48	17.53	14.80	 8	  0.22	 	 31.5	 	-1.98	 0.025	123	-2.36	 0.31	 0.41	-4.68	 0.26	  1
1-3-2945	07 57 52.94	-61 15 35.99	      	20.11	17.28	14.96	 7	  0.27	<	  8.0	 	-1.90	      	112	     	 0.18	 0.35	-4.92	 0.30	  0
1-3-3005	07 57 55.36	-61 15 12.30	 0.297	19.97	17.15	14.70	 7	  6.48	 	 53.0	 	-1.85	 0.012	106	-2.55	 0.39	 0.41	-4.57	 0.32	  1
1-3-4292	07 58 39.61	-61 13 24.45	      	21.00	17.92	15.58	 5	  2.63	 	 29.0	 	-2.12	      	145	     	-0.19	 0.12	     	 0.22	  0
1-3-4335	07 58 40.90	-61 14 54.40	      	19.57	16.92	14.58	 9	  7.80	<	  8.0	*	-1.78	      	 98	     	 0.01	 0.43	-6.08	 0.36	  0
1-3-4380	07 58 41.83	-61 12 02.07	      	17.48	15.13	13.01	37	 18.60	<	  8.0	*	-1.09	      	 44	     	 0.26	 0.29	-4.72	 0.61	  0
1-3-4503	07 58 46.35	-61 14 31.95	      	19.66	17.01	14.85	11	 21.05	<	  8.0	*	-1.82	      	102	     	-0.04	 0.04	     	 0.34	  0
1-3-461 	07 56 27.54	-61 09 05.00	 0.420	20.65	17.71	15.22	 9	  0.53	 	 46.3	 	-2.06	 0.049	134	-2.50	 0.33	 0.25	-4.65	 0.24	  1
1-3-470 	07 56 27.73	-61 09 16.57	      	18.47	15.94	13.80	29	 25.30	<	  8.0	*	-1.40	      	 63	     	 0.04	 0.00	-5.52	 0.50	  0
1-3-664 	07 56 35.06	-61 10 08.60	 2.561	17.75	15.57	13.41	32	  0.02	 	  9.3	 	-1.28	 0.024	 55	-1.33	 0.48	 0.55	-4.44	 0.55	  1
1-3-699 	07 56 36.59	-61 13 17.60	 1.590	19.25	16.62	14.33	20	  0.57	 	 14.8	 	-1.67	 0.010	 86	-1.73	 0.46	 0.48	-4.48	 0.40	  1
1-3-927 	07 56 45.57	-61 14 31.30	 1.360	18.82	16.33	14.17	22	  0.92	<	  8.0	 	-1.56	 0.008	 76	-1.75	 0.39	 0.45	-4.54	 0.45	  1
1-4-1142	07 56 54.83	-61 05 26.21	      	17.05	15.11	13.16	38	 34.23	<	  8.0	*	-1.11	      	 45	     	 0.07	 0.08	-5.27	 0.62	  0
1-4-1225	07 56 58.33	-61 02 08.10	 0.741	20.62	17.68	15.00	 8	  1.26	<	  8.0	 	-2.04	 0.021	132	-2.25	 0.25	 0.09	-4.77	 0.25	  1
1-4-1313	07 57 01.29	-61 01 10.10	 3.532	18.82	16.31	13.97	18	  0.62	<	  8.0	 	-1.55	 0.009	 75	-1.33	 0.36	 0.41	-4.58	 0.45	  1
1-4-1401	07 57 02.76	-61 05 20.20	 0.352	19.64	16.78	14.38	16	  0.61	 	 51.7	 	-1.70	 0.024	 89	-2.40	 0.41	 0.48	-4.56	 0.38	  1
1-4-155 	07 56 23.06	-61 00 01.20	      	20.24	17.38	14.88	 8	  8.95	<	  8.0	*	-1.94	      	117	     	 0.05	-0.04	-5.46	 0.29	  0
1-4-1609	07 57 10.37	-61 01 13.50	 0.742	18.72	16.19	13.83	22	  1.39	 	 26.8	 	-1.50	 0.015	 71	-1.98	 0.45	 0.50	-4.48	 0.47	  1
1-4-1930	07 57 21.55	-61 03 56.50	 6.065	19.12	16.55	14.26	18	  0.96	<	  8.0	 	-1.64	 0.015	 84	-1.14	 0.83	 0.79	-4.22	 0.41	  1
1-4-2288	07 57 37.23	-61 04 22.86	      	17.25	14.82	12.75	35	  1.39	<	  8.0	 	-0.96	      	 38	     	 0.04	 0.01	-5.57	 0.66	  0
1-4-2755	07 57 54.32	-61 05 29.60	 2.741	19.65	16.95	14.51	 9	  0.28	 	  8.4	 	-1.79	 0.014	 99	-1.56	 0.30	 0.29	-4.67	 0.35	  1
1-4-2793	07 57 55.65	-61 04 17.20	 0.595	19.81	17.03	14.63	 5	  2.08	 	 32.1	 	-1.81	 0.009	101	-2.23	 0.26	 0.35	-4.75	 0.34	  1
1-4-2846	07 57 57.76	-61 02 03.80	 0.918	19.29	16.65	14.32	16	  0.02	 	 31.1	 	-1.68	 0.012	 87	-1.98	 0.45	 0.36	-4.48	 0.40	  1
1-4-3146	07 58 06.99	-60 58 32.21	      	19.60	16.85	14.34	15	  2.88	 	 41.9	 	-1.74	      	 94	     	 0.34	 0.38	-4.63	 0.37	  0
1-4-3259	07 58 10.51	-61 04 10.97	      	20.73	17.76	14.99	 6	  0.86	 	 26.4	 	-2.08	      	137	     	 0.20	 0.10	-4.87	 0.24	  0
1-4-3317	07 58 12.62	-61 04 29.70	 0.599	19.65	16.87	14.67	13	  0.27	 	 43.7	 	-1.75	 0.025	 94	-2.20	 0.30	 0.37	-4.68	 0.37	  1
1-4-3373	07 58 11.90	-61 01 41.90	 0.148	19.12	16.33	13.82	18	 16.09	 	125.9	 	-1.53	 0.013	 73	-2.69	 0.55	 0.47	-4.42	 0.45	  1
1-4-3379	07 58 14.39	-61 00 00.90	 6.422	17.96	15.69	13.48	28	 10.40	 	 10.1	*	-1.32	 0.011	 58	-0.95	 0.47	 0.46	-4.45	 0.54	  1
1-4-3439	07 58 16.00	-61 05 53.40	 0.704	19.66	16.72	14.34	13	  1.09	 	 31.2	 	-1.66	 0.017	 85	-2.08	 0.28	 0.20	-4.72	 0.39	  1
1-4-3464	07 58 16.53	-60 58 24.37	      	18.87	16.26	14.00	23	 17.44	 	 19.7	*	-1.52	      	 73	     	 0.21	 0.28	-4.82	 0.46	  0
1-4-3531	07 58 18.77	-61 03 07.75	      	20.44	17.53	15.03	 8	  1.74	 	 22.4	 	-1.99	      	124	     	 0.16	 0.21	-4.98	 0.26	  0
1-4-355 	07 56 28.90	-61 02 01.10	 2.392	17.80	15.46	13.22	31	  0.89	 	  9.0	 	-1.23	 0.014	 52	-1.33	 0.42	 0.48	-4.51	 0.57	  1
1-4-3693	07 58 24.23	-60 58 53.04	      	18.24	15.89	13.71	25	 27.76	<	  8.0	*	-1.39	      	 63	     	 0.09	 0.03	-5.16	 0.51	  0
1-4-3776	07 58 27.23	-61 02 45.40	 0.639	19.99	17.03	14.53	12	  2.55	 	 25.0	 	-1.78	 0.011	 98	-2.19	 0.20	 0.29	-4.88	 0.34	  1
1-4-3820	07 58 28.72	-61 03 18.26	      	16.98	15.15	13.26	34	 10.75	<	  8.0	*	-1.16	      	 48	     	 0.11	 0.13	-5.06	 0.61	  0
1-4-3893	07 58 31.27	-61 04 33.80	 1.036	19.02	16.24	13.74	21	  3.17	 	 34.6	*	-1.49	 0.019	 70	-1.83	 0.41	 0.40	-4.54	 0.46	  1
1-4-3936	07 58 32.59	-60 59 45.95	      	16.79	15.02	13.09	38	  0.76	<	  8.0	 	-1.12	      	 46	     	 0.52	 0.64	-4.36	 0.63	  0
1-4-3974	07 58 34.23	-60 59 50.30	 0.362	20.79	17.73	15.35	 8	  2.08	 	 40.1	 	-2.05	 0.021	134	-2.57	 0.24	 0.22	-4.81	 0.24	  1
1-4-401 	07 56 29.76	-60 59 59.79	      	17.22	15.16	13.00	34	  0.05	 	 23.0	 	-1.12	      	 46	     	 0.28	 0.30	-4.67	 0.61	  0
1-4-4038	07 58 36.78	-61 03 54.80	 0.269	18.64	16.06	13.78	23	  0.26	 	 84.7	 	-1.45	 0.023	 66	-2.39	 0.57	 0.63	-4.38	 0.48	  1
1-4-4069	07 58 38.22	-61 03 31.20	 0.446	20.45	17.55	     	 9	  0.52	 	 40.5	 	-2.00	 0.023	126	-2.45	 0.41	 0.33	-4.56	 0.26	  1
1-4-470 	07 56 31.38	-60 59 32.93	      	17.23	14.99	12.81	37	  0.52	<	  8.0	 	-1.04	      	 42	     	 0.38	 0.38	-4.54	 0.63	  0
1-4-559 	07 56 34.98	-60 59 29.01	      	18.42	16.03	13.95	20	  9.05	<	  8.0	*	-1.45	      	 67	     	 0.02	-0.01	-5.83	 0.49	  0
1-4-673 	07 56 39.05	-61 03 46.60	      	17.32	15.37	13.34	35	  0.89	<	  8.0	 	-1.21	      	 51	     	 0.40	 0.47	-4.51	 0.58	  0
1-4-679 	07 56 39.13	-61 06 46.61	      	18.93	16.36	14.09	19	  1.09	 	  9.2	 	-1.56	      	 76	     	 0.37	 0.42	-4.57	 0.44	  0
